OBJECTID,GEO_ID_TRT,TRACT_LBL,E25077027,M25077027
307,53033030310,Tract 030310,354500,12483
308,53033030311,Tract 030311,278700,13536
309,53033030312,Tract 030312,293600,21776
310,53033030313,Tract 030313,73900,69867
311,53033030314,Tract 030314,180400,21026
312,53033030401,Tract 030401,328700,19288
313,53033030403,Tract 030403,292100,26745
314,53033030404,Tract 030404,344800,21025
315,53033030501,Tract 030501,263000,47701
316,53033030503,Tract 030503,200300,49335
317,53033030504,Tract 030504,193000,28579
318,53033030600,Tract 030600,248700,26047
319,53033030700,Tract 030700,231400,30368
320,53033030801,Tract 030801,23900,4681
321,53033030802,Tract 030802,268100,14573
322,53033030901,Tract 030901,233500,13555
323,53033030902,Tract 030902,257200,29033
324,53033031000,Tract 031000,372500,14754
325,53033031100,Tract 031100,235400,17793
326,53033031202,Tract 031202,481400,55131
327,53033031204,Tract 031204,401600,40405
328,53033031205,Tract 031205,341200,36417
329,53033031206,Tract 031206,248800,39905
330,53033031301,Tract 031301,406800,37403
331,53033031302,Tract 031302,280000,17123
332,53033031400,Tract 031400,276700,24096
333,53033031501,Tract 031501,418600,26535
334,53033031502,Tract 031502,364400,26568
335,53033031601,Tract 031601,409000,27931
336,53033031603,Tract 031603,382000,25047
337,53033031604,Tract 031604,360000,14865
338,53033031605,Tract 031605,487700,40649
339,53033031703,Tract 031703,358700,29075
340,53033031704,Tract 031704,350700,15515
341,53033031705,Tract 031705,365900,15478
342,53033031706,Tract 031706,355500,15123
343,53033031800,Tract 031800,427600,31165
344,53033031903,Tract 031903,465300,49816
345,53033031904,Tract 031904,462000,39415
346,53033031906,Tract 031906,455100,35604
347,53033031907,Tract 031907,401600,22634
348,53033031908,Tract 031908,365900,35093
349,53033031909,Tract 031909,428100,19835
350,53033032002,Tract 032002,521300,52913
351,53033032003,Tract 032003,466700,50020
352,53033032005,Tract 032005,273600,28379
353,53033032006,Tract 032006,380600,17584
354,53033032007,Tract 032007,413100,33698
355,53033032008,Tract 032008,348600,19898
356,53033032010,Tract 032010,399500,27662
357,53033032011,Tract 032011,389000,24268
358,53033032102,Tract 032102,584800,23140
359,53033032103,Tract 032103,441500,56815
360,53033032104,Tract 032104,587200,36051
361,53033032203,Tract 032203,788000,78223
362,53033032207,Tract 032207,820400,64861
363,53033032208,Tract 032208,500300,65147
364,53033032210,Tract 032210,658000,50602
365,53033032211,Tract 032211,676600,27686
366,53033032212,Tract 032212,609900,29716
367,53033032213,Tract 032213,853100,31602
368,53033032214,Tract 032214,734900,39215
369,53033032215,Tract 032215,921400,36753
370,53033032307,Tract 032307,647700,30444
371,53033032309,Tract 032309,484500,40779
372,53033032311,Tract 032311,718900,51380
373,53033032313,Tract 032313,533700,86210
374,53033032315,Tract 032315,721400,42492
375,53033032316,Tract 032316,759000,46542
376,53033032317,Tract 032317,718600,44502
377,53033032318,Tract 032318,684000,26038
378,53033032319,Tract 032319,514800,56125
379,53033032320,Tract 032320,773800,56517
380,53033032321,Tract 032321,873900,22409
381,53033032322,Tract 032322,743100,41500
382,53033032323,Tract 032323,681800,37590
383,53033032324,Tract 032324,595200,40795
384,53033032325,Tract 032325,590300,86830
385,53033032326,Tract 032326,875400,45294
386,53033032327,Tract 032327,700400,33093
387,53033032328,Tract 032328,788200,60270
388,53033032329,Tract 032329,681600,45633
389,53033032401,Tract 032401,476400,48110
390,53033032402,Tract 032402,444700,28362
391,53033032500,Tract 032500,501300,41640
392,53033032601,Tract 032601,533300,77302
393,53033032602,Tract 032602,600300,20051
394,53033032702,Tract 032702,436500,38821
395,53033032703,Tract 032703,413600,38588
396,53033032704,Tract 032704,468300,40870
397,53033032800,Tract 032800,481500,59698
398,53033990100,Tract 990100,,
