OBJECTID,CHANGE_NUM,MINOR_CHANGE_NUM,CURRENT_NEXT_CODE,IN_SERVICE_FLAG,ROUTE_ID,LOCAL_EXPRESS_CODE,ROUTE_NUM,SHAPE_Length
195,149,9,CURRENT,N,100099,L,208,177804.14354501
196,149,9,CURRENT,N,100101,E,21,88030.6380742324
197,149,9,CURRENT,N,100101,L,21,85230.5068572925
198,149,9,CURRENT,N,100104,L,212,142247.919861331
199,149,9,CURRENT,N,100106,L,214,190471.022647708
200,149,9,CURRENT,N,100108,L,216,287227.304469919
201,149,9,CURRENT,N,100109,L,217,171288.988425862
202,149,9,CURRENT,N,100111,L,22,62910.3634744669
203,149,9,CURRENT,N,100113,L,221,129623.684593041
204,149,9,CURRENT,N,100124,L,232,171183.334730753
205,149,9,CURRENT,N,100129,L,237,127585.846813011
206,149,9,CURRENT,N,100132,L,24,80897.5966211302
207,149,9,CURRENT,N,100133,L,240,123537.808816944
208,149,9,CURRENT,N,100136,L,245,123442.296050413
209,149,9,CURRENT,N,100137,L,246,86138.6431565911
210,149,9,CURRENT,N,100139,L,249,125360.163384569
211,149,9,CURRENT,N,100146,L,255,124013.641727385
212,149,9,CURRENT,N,100148,L,257,212289.884917007
213,149,9,CURRENT,N,100159,L,268,193079.749373236
214,149,9,CURRENT,N,100160,L,269,157108.669113366
215,149,9,CURRENT,N,100161,L,27,35475.6424994856
216,149,9,CURRENT,N,100162,L,271,191822.427388317
217,149,9,CURRENT,N,100169,E,28,103316.376209393
218,149,9,CURRENT,N,100173,L,3,55976.1837327372
219,149,9,CURRENT,N,100259,L,67,54328.7212007435
220,149,9,CURRENT,N,100263,L,7,77514.6276947203
221,149,9,CURRENT,N,100264,L,70,44142.6377719955
222,149,9,CURRENT,N,100267,L,73,61239.5582171009
223,149,9,CURRENT,N,100269,L,75,82685.1245974189
224,149,9,CURRENT,N,100272,L,773,36269.1189097176
225,149,9,CURRENT,N,100275,L,8,50836.5843285696
226,149,9,CURRENT,N,100289,E,9,59306.3226280388
227,149,9,CURRENT,N,100290,L,901,35004.8424755297
228,149,9,CURRENT,N,100292,L,903,44868.9488480257
229,149,9,CURRENT,N,100297,L,914,90457.0718445517
230,149,9,CURRENT,N,100300,L,917,45707.1852173158
231,149,9,CURRENT,N,100336,L,973,20852.8323490093
232,149,9,CURRENT,N,100337,L,975,50453.0677082509
233,149,9,CURRENT,N,100340,L,98,10163.8196764764
234,149,9,CURRENT,N,100341,E,982,215565.778097303
235,149,9,CURRENT,N,100175,L,301,64694.8306064719
236,149,9,CURRENT,N,100177,L,303,106546.588335947
237,149,9,CURRENT,N,100178,L,304,59507.7449131576
238,149,9,CURRENT,N,100184,L,31,71935.2112171267
239,149,9,CURRENT,N,100186,L,311,221455.273534242
240,149,9,CURRENT,N,100193,L,32,68275.0067077168
241,149,9,CURRENT,N,100194,L,33,59658.0705238236
242,149,9,CURRENT,N,100195,L,330,44914.3452986217
243,149,9,CURRENT,N,100196,L,331,74584.5771397862
244,149,9,CURRENT,N,100201,L,342,292527.436814887
245,149,9,CURRENT,N,100202,L,345,51683.1437915548
246,149,9,CURRENT,N,100203,L,346,59325.6132491382
247,149,9,CURRENT,N,100204,L,347,71404.4374475442
248,149,9,CURRENT,N,100205,L,348,77757.9623448145
249,149,9,CURRENT,N,100210,L,36,60448.6699012268
250,149,9,CURRENT,N,100214,E,372,98332.0259400644
251,149,9,CURRENT,N,100219,L,4,62229.5550752519
252,149,9,CURRENT,N,100223,L,43,53450.222037941
